Kode I-O,Nama Sektor, Kode sektor KSM , Klasifikasi Sektor Makro (KSM) , KSM (17 Sektor) ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,180,301,302,303,304,305,309,310,409,509,600,700
36,"Barang galian bukan logam (bata, genteng, paving, dll.)",C.10,Industri Barang Galian bukan Logam,Industri Pengolahan,0,0,0,0,14.06,72.49,3.48,0,120.58,0,0,2172.87,0.07,7.17,4.19,0.01,0.33,0.06,0.29,0.03,0,0.08,0.23,0,0,0,0,0,0.05,0.13,1.42,0.09,0,0,0,26202.38,0,0,640.31,2896.63,0,0.56,0.04,970557.27,0,0,0,0,0,32,0.7,1.11,1.47,56.96,3221.39,524.76,7401.51,3316.07,10.6,3.1,0,1017264.45,22465.7741,3271.671831,4907.507746,1635.835915,16358.35915,48639.14875,1065903.601,0,0,1065903.601,1065903.601
37,Pencetakan & reproduksi media rekaman,C.7,Industri Kertas dan Barang dari Kertas; Percetakan,Industri Pengolahan,0,0,0,0,2.64,5.3,0.74,0.01,11.62,3.48,0,11.61,0.25,0.33,0.3,0.03,1.18,0.43,0.01,0,0,0.01,0.17,31.37,69.94,0.2,0.04,0.23,0.09,0.03,0.09,14.89,33.16,2.87,0.5,1.98,19856.93,34.13,104.74,148.69,24.39,0.14,32.14,890.38,155.53,956.65,3858.02,439.75,384.44,4914.5,6.41,10.42,6125.38,5687.98,17,43337.74,39352.39,37268.4,16.78,50.3,0,163866.73,145286.8579,0,54312.5377,194.0879321,0.001115287,199793.4846,363660.2147,0,0,363660.2147,363660.2147
38,Pakaian jadi / konveksi & rajutan,C.4,Industri Tekstil dan Pakaian Jadi,Industri Pengolahan,0,0,0,0,0,0,0.73,0.01,67.03,0,0,756.91,3.23,0.35,0.02,0.94,70.99,11.27,0,0,0,0.01,174.6,61.78,308.31,1.04,0.22,0.05,0.11,0.66,0.09,7.53,825.5,184.63,67.03,3.33,156.5,64668.15,405.82,2543.71,5.97,1.83,1536.28,5562.76,372.01,2158.55,4019.82,177.14,401.73,812.84,10.82,0.96,2527.16,291.31,5.08,2230.94,3470.24,10928.1,60.82,925.9,0,105820.83,396325.3029,0,0,3252.689605,0.025701637,399578.0182,505398.8483,0,0,505398.8483,505398.8483
39,"Produk logam sederhana, mesin kecil & reparasi industri",C.11,Industri Logam Dasar,Industri Pengolahan,1512.15,75.03,19.24,96.17,791.6,1813.86,320.57,257.67,13.78,18273.11,5.87,3972.99,165.08,242.14,90.44,30.79,1595.57,322.54,22.67,2.75,120.01,9.1,1573.05,193050.39,23085.12,4.16,46.09,7.63,38,51.14,28.03,687.63,5781.91,675.99,224.74,454.09,2869.28,19588.35,106414.1,26444.76,1977.82,17.48,973.35,470003.11,9643.13,38712.59,70481.2,10298.7,4517.29,18870.63,85.59,186.84,16993.56,13988.86,1734.34,9267.85,26702.97,45233.98,479.9,3407.26,0,1154354.03,114942.1288,0,542249.2501,13403.74682,0.129928168,670595.2557,1824949.285,0,0,1824949.285,1824949.285
40,Industri pengolahan lainnya,C.16,Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Industri Pengolahan,89980.49,10242.76,409.21,2938.24,28450.62,44281.81,6894.65,3821.1,9699.84,91120.41,223.59,23714.04,8501.41,3796.99,1096.25,426.21,6972.51,1753.89,1274.86,15.43,1000.09,2490.23,20803.68,173756.93,61483.07,1432.66,165.54,292.64,178.22,351.49,28.65,3759.15,27293.44,1910.53,798.3,8264.8,39969.8,68416.03,71316.61,247385.31,18818.45,141.07,6604.57,620798.48,48286.35,191737.95,348199.56,31381.42,19526.92,54676.84,886.28,2022.83,103814.76,30102.04,6644.45,35348.23,135949.25,339759.65,5063.37,14550.34,0,3081024.31,923098.8545,0,11383.6042,2156.794988,0,936639.2537,4017663.56,0,0,4017663.56,4017663.56
41,Pengadaan listrik dan Gas dan Air Bersih,D.1,Ketenagalistrikan,Pengadaan Listrik dan Gas,4.75,1.65,0.07,0.76,156.28,64.89,11.86,7.32,12.05,6.32,0.02,9.1,0.98,75.11,24.91,25.61,7.55,4.75,5.72,0.05,0,1.25,5.38,9281.6,1803.8,12.17,13.07,19.36,261.58,51.35,0.26,298.52,1421.77,87.76,20.4,557.68,254.25,53.5,5134.88,3394.71,10633.12,323.03,656.22,8144.74,797.8,2495.36,3044,280.29,769.82,5279.05,28582.6,47.51,14065.28,435.72,156.45,15128.03,34849.68,36112.64,668.17,6117.44,0,191680,62180.57745,0,0,0,0,62180.57745,253860.5785,0,0,253860.5785,253860.5785
42,"Pengadaan uap/air panas, udara dingin dan produk es",D.2,Pengadaan Gas dan Produksi Es,Pengadaan Listrik dan Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419.91,13.06,0,0,0,0,0,0,0,0,0,0,0,87.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520.19,22087.14041,0,0,0,0,22087.14041,24607.32981,0,0,24607.32981,24607.32981
43,"Pengelolaan sampah, limbah & daur ulang",E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0,0,0,0,0,0,95.54,1.04,8.06,78.71,0.08,2.68,123.63,424.76,34.72,3.26,0,0,2.85,0.47,0,0.59,1.21,522.39,9261.15,0.37,1.13,3.17,3.69,1.1,0.26,211.13,209.45,38.42,7.05,128.43,38.67,41.88,1480.68,2824.7,146.48,0.02,30183.62,5548.02,1407.82,2399.47,7530.86,192.47,216.77,13044.07,18.76,11.5,1636.56,786.62,56.9,359.39,29427.02,17878.73,1.09,506.46,0,126903.88,31129.67928,58321.31926,0,0,0.001901247,89451.00044,216354.8797,0,0,216354.8758,216354.8758
44,Konstruksi ,F,Konstruksi,Konstruksi,344.58,126.89,54.98,635.99,994.95,930.33,120.75,239.68,2418.21,26611.27,10.29,6629.95,814.99,4869.28,256.03,13.76,27705.59,9019.73,0.33,15.12,0.05,20.35,1040.04,273433,82044.83,2.76,5.62,0,10.13,0.67,4.32,121.59,1043.53,159.4,20.75,81.28,3109.76,12.87,12115.06,3916.41,4578.59,2.9,7677.5,794620.04,52275.5,127411.44,9486.15,484.39,476.12,83581.12,94.96,19.26,53606.54,76858.37,285939.3,15958.42,1279010.54,118863.9,1034.66,13566.68,0,3384501.53,75136.74446,0,25229006.15,0,0.008832887,25304142.91,28688644.43,0,0,28688644.43,28688644.43
45,Perdagangan besar (wholesale),G.2,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3099.35,435.4,81.35,59.28,855.94,2639,1279.86,959.66,269.12,20170.56,12.22,4110.86,910.86,11944.9,115.6,11.24,28374.49,4055.34,15.36,7.45,0.02,24.86,1049.91,191868.18,43699.12,4.71,61.49,6.14,19.94,8.43,42.75,927.33,3624.13,664.32,87.46,485.6,742.68,565.95,69455.82,17519.02,2616.94,29.84,826.86,98275.26,71407.79,177831.05,397322.84,3530.93,1807.38,27030.68,178.59,127.7,116091.73,56025.81,7514.18,59991.97,99318.78,71509.79,1450.24,8675.69,0,1611829.73,581885.1894,0,544398.4823,0,0.016745024,1126283.688,2738113.421,0,0,2738113.421,2738113.421
